index,Rank,RatingTomatometer,Title,No. of Reviews,url,Year
51,52,85,Contagion,273,https://www.rottentomatoes.com/m/contagion_2011,2011
52,53,93,Elite Squad: The Enemy Within,45,https://www.rottentomatoes.com/m/elite_squad_the_enemy_within,2011
53,54,93,Knuckle,43,https://www.rottentomatoes.com/m/knuckle_2011,2011
54,55,92,The Black Power Mixtape 1967-1975,53,https://www.rottentomatoes.com/m/the_black_power_mix_tape_1967_1975,2011
55,56,92,City of Life and Death,53,https://www.rottentomatoes.com/m/city_of_life_and_death,2011
56,57,91,Point Blank,79,https://www.rottentomatoes.com/m/point_blank,2011
57,58,92,Corman's World: Exploits Of A Hollywood Rebel,51,https://www.rottentomatoes.com/m/cormans_world_exploits_of_a_hollywood_rebel,2011
58,59,89,Certified Copy (Copie Conforme),134,https://www.rottentomatoes.com/m/certified_copy,2011
59,60,90,Buck,105,https://www.rottentomatoes.com/m/buck,2011
60,61,88,Submarine,156,https://www.rottentomatoes.com/m/submarine-2010,2011
61,62,87,Margin Call,171,https://www.rottentomatoes.com/m/margin_call,2011
62,63,91,Armadillo,53,https://www.rottentomatoes.com/m/armadillo_2010,2011
63,64,89,The Trip,107,https://www.rottentomatoes.com/m/the_trip_2011,2011
64,65,84,The Ides of March,243,https://www.rottentomatoes.com/m/the_ides_of_march,2011
65,66,89,Uncle Boonmee Who Can Recall His Past Lives,98,https://www.rottentomatoes.com/m/uncle_boonmee,2011
66,67,90,Beats Rhymes & Life: The Travels of a Tribe Called Quest,60,https://www.rottentomatoes.com/m/beats_rhymes_and_life_the_travels_of_a_tribe_called_quest,2011
67,68,86,Cedar Rapids,167,https://www.rottentomatoes.com/m/cedar_rapids_2010,2011
68,69,82,Rise of the Planet of the Apes,269,https://www.rottentomatoes.com/m/rise_of_the_planet_of_the_apes,2011
69,70,86,Puss in Boots,154,https://www.rottentomatoes.com/m/1209933-puss_in_boots,2011
70,71,81,Super 8,288,https://www.rottentomatoes.com/m/super_8,2011
71,72,83,Tinker Tailor Soldier Spy,228,https://www.rottentomatoes.com/m/tinker_tailor_soldier_spy,2011
72,73,85,Beginners,160,https://www.rottentomatoes.com/m/beginners,2011
73,74,86,Meek's Cutoff,128,https://www.rottentomatoes.com/m/meeks_cutoff,2011
74,75,87,Terri,98,https://www.rottentomatoes.com/m/terri_2011,2011
75,76,84,Jane Eyre,167,https://www.rottentomatoes.com/m/jane_eyre_2011,2011
76,77,83,Warrior,191,https://www.rottentomatoes.com/m/1212910-warrior,2011
77,78,88,Bobby Fischer Against The World,49,https://www.rottentomatoes.com/m/bobby_fischer_against_the_world,2011
78,79,88,Carancho,48,https://www.rottentomatoes.com/m/carancho,2011
79,80,83,My Week with Marilyn,185,https://www.rottentomatoes.com/m/my_week_with_marilyn,2011
80,81,80,Captain America: The First Avenger,268,https://www.rottentomatoes.com/m/captain_america_the_first_avenger,2011
81,82,87,The Hedgehog,71,https://www.rottentomatoes.com/m/the_hedgehog,2011
82,83,88,A Screaming Man,41,https://www.rottentomatoes.com/m/a_screaming_man,2011
83,84,83,The Lincoln Lawyer,175,https://www.rottentomatoes.com/m/lincoln_lawyer,2011
84,85,87,Even the Rain (Meme La Pluie),61,https://www.rottentomatoes.com/m/even_the_rain,2011
85,86,85,Tucker and Dale vs. Evil,113,https://www.rottentomatoes.com/m/tucker_and_dale_vs_evil,2011
86,87,85,A Better Life,107,https://www.rottentomatoes.com/m/a_better_life,2011
87,88,86,Circumstance,79,https://www.rottentomatoes.com/m/circumstance,2011
88,89,86,Viva Riva!,59,https://www.rottentomatoes.com/m/viva_riva,2011
89,90,86,Mysteries of Lisbon,57,https://www.rottentomatoes.com/m/mysteries_of_lisbon,2011
90,91,81,Kung Fu Panda 2,181,https://www.rottentomatoes.com/m/kung_fu_panda_the_kaboom_of_doom,2011
91,92,79,"Crazy, Stupid, Love.",236,https://www.rottentomatoes.com/m/crazy_stupid_love_2011,2011
92,93,85,La princesse de Montpensier (The Princess of Montpensier),66,https://www.rottentomatoes.com/m/la_princesse_de_montpensier,2011
93,94,81,The Skin I Live In,176,https://www.rottentomatoes.com/m/the_skin_i_live_in,2011
94,95,77,Thor,286,https://www.rottentomatoes.com/m/thor,2011
95,96,83,Potiche,118,https://www.rottentomatoes.com/m/potiche,2011
96,97,85,La tête en friche (My Afternoons with Margueritte),61,https://www.rottentomatoes.com/m/la_tete_en_friche,2011
97,98,79,Shame,223,https://www.rottentomatoes.com/m/shame_2011,2011
98,99,80,Young Adult,195,https://www.rottentomatoes.com/m/young_adult,2011
99,100,85,"Happy, Happy",48,https://www.rottentomatoes.com/m/happy_happy,2011
0,1,96,Argo,356,https://www.rottentomatoes.com/m/argo_2012,2012
1,2,92,Skyfall,377,https://www.rottentomatoes.com/m/skyfall,2012
2,3,92,Marvel's The Avengers,357,https://www.rottentomatoes.com/m/marvels_the_avengers,2012
3,4,94,Moonrise Kingdom,262,https://www.rottentomatoes.com/m/moonrise_kingdom,2012
4,5,93,Looper,267,https://www.rottentomatoes.com/m/looper,2012
5,6,92,The Cabin in the Woods,286,https://www.rottentomatoes.com/m/the_cabin_in_the_woods,2012
6,7,99,Jiro Dreams of Sushi,94,https://www.rottentomatoes.com/m/jiro_dreams_of_sushi,2012
7,8,92,Silver Linings Playbook,257,https://www.rottentomatoes.com/m/silver_linings_playbook,2012
8,9,87,The Dark Knight Rises,367,https://www.rottentomatoes.com/m/the_dark_knight_rises,2012
9,10,93,Amour,223,https://www.rottentomatoes.com/m/amour_2013,2012
10,11,99,The Invisible War,72,https://www.rottentomatoes.com/m/the_invisible_war,2012
11,12,97,Monsieur Lazhar,119,https://www.rottentomatoes.com/m/monsieur_lazhar_2011,2012
12,13,96,The Kid with a Bike,131,https://www.rottentomatoes.com/m/the_kid_with_a_bike,2012
13,14,98,Ai Weiwei: Never Sorry,82,https://www.rottentomatoes.com/m/ai_weiwei_never_sorry_2012,2012
14,15,98,How to Survive a Plague,80,https://www.rottentomatoes.com/m/how_to_survive_a_plague,2012
15,16,95,The Secret World of Arrietty,151,https://www.rottentomatoes.com/m/the_secret_world_of_arrietty,2012
16,17,97,This Is Not a Film,101,https://www.rottentomatoes.com/m/this_is_not_a_film_2011,2012
17,18,89,Lincoln,283,https://www.rottentomatoes.com/m/lincoln_2011,2012
18,19,95,Searching for Sugar Man,130,https://www.rottentomatoes.com/m/searching_for_sugar_man,2012
19,20,98,The Loved Ones,57,https://www.rottentomatoes.com/m/the_loved_ones_2012,2012
20,21,96,Undefeated,102,https://www.rottentomatoes.com/m/undefeated_2012,2012
21,22,98,Beware Of Mr. Baker,53,https://www.rottentomatoes.com/m/beware_of_mr_baker,2012
22,23,98,Mea Maxima Culpa: Silence In The House Of God,50,https://www.rottentomatoes.com/m/mea_maxima_culpa_silence_in_the_house_of_god,2012
23,24,98,The Island President,49,https://www.rottentomatoes.com/m/the_island_president,2012
24,25,92,Holy Motors,192,https://www.rottentomatoes.com/m/holy_motors,2012
25,26,97,"Oslo, August 31st",70,https://www.rottentomatoes.com/m/oslo_august_31st,2012
26,27,95,The Queen of Versailles,117,https://www.rottentomatoes.com/m/the_queen_of_versailles,2012
27,28,95,West of Memphis,117,https://www.rottentomatoes.com/m/west_of_memphis,2012
28,29,95,The Imposter,116,https://www.rottentomatoes.com/m/the_imposter_2012,2012
29,30,95,Marley,112,https://www.rottentomatoes.com/m/marley,2012
30,31,91,The Sessions,203,https://www.rottentomatoes.com/m/the_sessions,2012
31,32,87,Django Unchained,288,https://www.rottentomatoes.com/m/django_unchained_2012,2012
32,33,96,Chasing Ice,72,https://www.rottentomatoes.com/m/chasing_ice_2012,2012
33,34,96,Sister,70,https://www.rottentomatoes.com/m/lenfant_den_haut,2012
34,35,96,Wake in Fright,56,https://www.rottentomatoes.com/m/wake_in_fright,2012
35,36,96,Brooklyn Castle,53,https://www.rottentomatoes.com/m/brooklyn_castle_2012,2012
36,37,96,5 Broken Cameras,48,https://www.rottentomatoes.com/m/5_broken_cameras_2012,2012
